Edition	TaskCode	Week	Training Type	Task Start date	Task End Date	Completion date			Owner	"Status
(PickList)"	EditionTaskCode
2309-A Customers	W6T05	Week 6	GLR	#N/A	#N/A	11/19/2023			Telmo	Done	2309-A CustomersW6T05
2309-A Customers	W6T06	Week 6	GLR	#N/A	#N/A	11/19/2023			Telmo	Done	2309-A CustomersW6T06
2309-A Customers	W6T07	Week 6	GLR	#N/A	#N/A	11/19/2023			Telmo	Done	2309-A CustomersW6T07
2309-A Customers	W6T08	Week 6	GLR	#N/A	#N/A	11/19/2023			Telmo	Done	2309-A CustomersW6T08
2309-A Customers	W6T09	Week 6	GLR	#N/A	#N/A	11/19/2023			Telmo	Done	2309-A CustomersW6T09
2309-A Customers	W6T10	Week 6	GLR	#N/A	#N/A	11/19/2023			Telmo	Done	2309-A CustomersW6T10
2309-A Customers	W7T01	Week 7	GLR	10/16/2023	10/22/2023	11/26/2023			Afonso	Done	2309-A CustomersW7T01
2309-A Customers	W8T01	Week 8	GLR	10/23/2023	10/29/2023	12/3/2023			Telmo	Done	2309-A CustomersW8T01
2309-A Customers	W8T02	Week 8	GLR	10/23/2023	10/29/2023	12/3/2023			Telmo	Done	2309-A CustomersW8T02
2309-A Customers	W8T03	Week 8	GLR	#N/A	#N/A				Telmo	Done	2309-A CustomersW8T03
2309-A Customers	W8T04	Week 8	GLR	10/23/2023	10/29/2023	10/30/2023			Luis	Done	2309-A CustomersW8T04
2309-A Customers	W8T05	Week 8	GLR	10/23/2023	10/29/2023				Telmo	Done	2309-A CustomersW8T05
2309-B Partners	WM5T01	Week -5	GLR	8/7/2023	8/13/2023	9/17/2023				Done	2309-B PartnersWM5T01
2309-B Partners	WM5T02	Week -5	GLR	8/7/2023	8/13/2023	9/17/2023				Done	2309-B PartnersWM5T02
2309-B Partners	WM5T03	Week -5	GLR	8/7/2023	8/13/2023	9/17/2023				Done	2309-B PartnersWM5T03
2309-B Partners	WM5T04	Week -5	GLR	8/7/2023	8/13/2023	9/17/2023				Done	2309-B PartnersWM5T04
2309-B Partners	WM5T05	Week -5	GLR	#N/A	#N/A	9/17/2023				Done	2309-B PartnersWM5T05
2309-B Partners	WM5T06	Week -5	GLR	#N/A	#N/A	9/17/2023				Done	2309-B PartnersWM5T06
2309-B Partners	WM5T07	Week -5	GLR	#N/A	#N/A	9/17/2023				Done	2309-B PartnersWM5T07
2309-B Partners	WM4T01	Week -4	GLR	8/14/2023	8/20/2023	9/24/2023			Afonso	Done	2309-B PartnersWM4T01
2309-B Partners	WM4T02	Week -4	GLR	#N/A	#N/A	9/24/2023			Telmo	Done	2309-B PartnersWM4T02
2309-B Partners	WM4T03	Week -4	GLR	#N/A	#N/A	9/24/2023			Telmo	Done	2309-B PartnersWM4T03
2309-B Partners	WM3T01	Week -3	GLR	8/21/2023	8/27/2023	10/1/2023			Afonso	Done	2309-B PartnersWM3T01
2309-B Partners	WM3T02	Week -3	GLR	8/21/2023	8/27/2023	10/1/2023			Afonso	Done	2309-B PartnersWM3T02
2309-B Partners	WM3T03	Week -3	GLR	#N/A	#N/A	10/1/2023			Afonso	Done	2309-B PartnersWM3T03
2309-B Partners	WM3T04	Week -3	GLR	#N/A	#N/A	10/1/2023			Afonso	Done	2309-B PartnersWM3T04
2309-B Partners	WM3T05	Week -3	GLR	#N/A	#N/A	10/1/2023			Afonso	Done	2309-B PartnersWM3T05
2309-B Partners	WM2T01	Week -2	GLR	8/28/2023	9/3/2023	10/8/2023			Afonso	Done	2309-B PartnersWM2T01
2309-B Partners	WM2T02	Week -2	GLR	8/28/2023	9/3/2023	10/8/2023			Afonso	Done	2309-B PartnersWM2T02
2309-B Partners	WM2T03	Week -2	GLR	8/28/2023	9/3/2023	10/8/2023			Afonso	Done	2309-B PartnersWM2T03
2309-B Partners	WM1T01	Week -1	GLR	9/4/2023	9/10/2023	10/15/2023			Afonso	Done	2309-B PartnersWM1T01
2309-B Partners	WM1T02	Week -1	GLR	9/4/2023	9/10/2023	10/15/2023			Afonso	Done	2309-B PartnersWM1T02
2309-B Partners	WM1T03	Week -1	GLR	#N/A	#N/A	10/15/2023			Afonso	Done	2309-B PartnersWM1T03
2309-B Partners	WM1T04	Week -1	GLR	#N/A	#N/A	10/15/2023			Afonso	Done	2309-B PartnersWM1T04
2309-B Partners	W1T01	Week 1	GLR	9/11/2023	9/13/2023	10/22/2023			Telmo	Done	2309-B PartnersW1T01
2309-B Partners	W1T02	Week 1	GLR	#N/A	#N/A	10/22/2023			Telmo	Done	2309-B PartnersW1T02
2309-B Partners	W1T03	Week 1	GLR	#N/A	#N/A	10/22/2023			Telmo	Done	2309-B PartnersW1T03
2309-B Partners	W2T01	Week 2	GLR	9/18/2023	9/20/2023	10/29/2023			Afonso	Done	2309-B PartnersW2T01
2309-B Partners	W2T02	Week 2	GLR	9/18/2023	9/24/2023					Done	2309-B PartnersW2T02
2309-B Partners	W2T03	Week 2	GLR	9/18/2023	9/24/2023	10/29/2023			Afonso	Done	2309-B PartnersW2T03
2309-B Partners	W2T04	Week 2	GLR	#N/A	#N/A	10/29/2023			Afonso	Done	2309-B PartnersW2T04
2309-B Partners	W2T05	Week 2	GLR	#N/A	#N/A	10/29/2023			Telmo	Done	2309-B PartnersW2T05
2309-B Partners	W2T06	Week 2	GLR	#N/A	#N/A	10/29/2023			Telmo	Done	2309-B PartnersW2T06
2309-B Partners	W2T07	Week 2	GLR	#N/A	#N/A	10/29/2023			Telmo	Done	2309-B PartnersW2T07
2309-B Partners	W3T01	Week 3	GLR	9/25/2023	10/1/2023	11/5/2023			Miguel	Done	2309-B PartnersW3T01
2309-B Partners	W3T02	Week 3	GLR	9/25/2023	10/1/2023	11/5/2023			Miguel	Done	2309-B PartnersW3T02
2309-B Partners	W3T03	Week 3	GLR	9/25/2023	10/1/2023	11/5/2023			Miguel	Done	2309-B PartnersW3T03
2309-B Partners	W3T04	Week 3	GLR	9/25/2023	10/1/2023	11/5/2023			Miguel	Done	2309-B PartnersW3T04
2309-B Partners	W3T05	Week 3	GLR	9/25/2023	10/1/2023	11/5/2023			Miguel	Done	2309-B PartnersW3T05
2309-B Partners	W3T06	Week 3	GLR	9/25/2023	10/1/2023	11/5/2023			Miguel	Done	2309-B PartnersW3T06
2309-B Partners	W3T07	Week 3	GLR	#N/A	#N/A	11/5/2023			Miguel	Done	2309-B PartnersW3T07
2309-B Partners	W3T08	Week 3	GLR	#N/A	#N/A	11/5/2023			Miguel	Done	2309-B PartnersW3T08
2309-B Partners	W3T09	Week 3	GLR	#N/A	#N/A	11/5/2023			Miguel	Done	2309-B PartnersW3T09
2309-B Partners	W3T10	Week 3	GLR	#N/A	#N/A	11/5/2023			Miguel	Done	2309-B PartnersW3T10
2309-B Partners	W3T11	Week 3	GLR	#N/A	#N/A	11/5/2023			Miguel	Done	2309-B PartnersW3T11
2309-B Partners	W3T12	Week 3	GLR	#N/A	#N/A	11/5/2023			Miguel	Done	2309-B PartnersW3T12
2309-B Partners	W4T01	Week 4	GLR	10/2/2023	10/2/2023	11/12/2023			Afonso	Done	2309-B PartnersW4T01
2309-B Partners	W4T02	Week 4	GLR	10/2/2023	10/5/2023	11/12/2023			Afonso	Done	2309-B PartnersW4T02
2309-B Partners	W4T03	Week 4	GLR	10/2/2023	10/8/2023	11/12/2023			Telmo	Done	2309-B PartnersW4T03
2309-B Partners	W5T01	Week 5	GLR	10/9/2023	10/10/2023	11/19/2023			Afonso	Done	2309-B PartnersW5T01
2309-B Partners	W5T02	Week 5	GLR	10/9/2023	10/12/2023	11/19/2023			Afonso	Done	2309-B PartnersW5T02
2309-B Partners	W5T03	Week 5	GLR	10/9/2023	10/15/2023	11/19/2023			Telmo	Done	2309-B PartnersW5T03
2309-B Partners	W5T04	Week 5	GLR	10/9/2023	10/15/2023	11/19/2023			Telmo	Done	2309-B PartnersW5T04
2309-B Partners	W5T05	Week 5	GLR	10/9/2023	10/15/2023	11/19/2023			Telmo	Done	2309-B PartnersW5T05
2309-B Partners	W5T06	Week 5	GLR	10/9/2023	10/15/2023	11/19/2023			Telmo	Done	2309-B PartnersW5T06
2309-B Partners	W5T07	Week 5	GLR	#N/A	#N/A	11/19/2023			Telmo	Done	2309-B PartnersW5T07
2309-B Partners	W5T08	Week 5	GLR	#N/A	#N/A	11/19/2023			Telmo	Done	2309-B PartnersW5T08
2309-B Partners	W5T09	Week 5	GLR	#N/A	#N/A	11/19/2023			Telmo	Done	2309-B PartnersW5T09
2309-B Partners	W6T01	Week 6	GLR	10/16/2023	10/22/2023	11/26/2023			Telmo	Done	2309-B PartnersW6T01
2309-B Partners	W6T02	Week 6	GLR	10/16/2023	10/22/2023	11/26/2023			Telmo	Done	2309-B PartnersW6T02
2309-B Partners	W6T03	Week 6	GLR	10/16/2023	10/22/2023	11/26/2023			Telmo	Done	2309-B PartnersW6T03
2309-B Partners	W6T04	Week 6	GLR	#N/A	#N/A	11/26/2023			Telmo	Done	2309-B PartnersW6T04
2309-B Partners	W6T05	Week 6	GLR	#N/A	#N/A	11/26/2023			Telmo	Done	2309-B PartnersW6T05
2309-B Partners	W6T06	Week 6	GLR	#N/A	#N/A	11/26/2023			Telmo	Done	2309-B PartnersW6T06
2309-B Partners	W6T07	Week 6	GLR	#N/A	#N/A	11/26/2023			Telmo	Done	2309-B PartnersW6T07
2309-B Partners	W6T08	Week 6	GLR	#N/A	#N/A	11/26/2023			Telmo	Done	2309-B PartnersW6T08
2309-B Partners	W6T09	Week 6	GLR	#N/A	#N/A				Telmo	Done	2309-B PartnersW6T09
2309-B Partners	W6T10	Week 6	GLR	#N/A	#N/A				Afonso	Done	2309-B PartnersW6T10
2309-B Partners	W7T01	Week 7	GLR	10/23/2023	10/29/2023				Afonso	Done	2309-B PartnersW7T01
2309-B Partners	W8T01	Week 8	GLR	10/30/2023	11/5/2023				Telmo	Done	2309-B PartnersW8T01
2309-B Partners	W8T02	Week 8	GLR	10/30/2023	11/5/2023				Telmo	Done	2309-B PartnersW8T02
2309-B Partners	W8T03	Week 8	GLR	#N/A	#N/A	GLR			Miguel	Done	2309-B PartnersW8T03
2309-B Partners	W8T04	Week 8	GLR	10/30/2023	11/5/2023				Telmo	Done	2309-B PartnersW8T04
2309-B Partners	W8T05	Week 8	GLR	10/30/2023	11/5/2023				Telmo	Done	2309-B PartnersW8T05
2310-A Partners	WM5T01	Week -5	GLR	8/28/2023	9/3/2023	10/8/2023			Afonso	Done	2310-A PartnersWM5T01
2310-A Partners	WM5T02	Week -5	GLR	8/28/2023	9/3/2023	10/8/2023			Afonso	Done	2310-A PartnersWM5T02
2310-A Partners	WM5T03	Week -5	GLR	8/28/2023	9/3/2023	10/8/2023			Afonso	Done	2310-A PartnersWM5T03
2310-A Partners	WM5T04	Week -5	GLR	8/28/2023	9/3/2023	10/8/2023			Afonso	Done	2310-A PartnersWM5T04
2310-A Partners	WM5T05	Week -5	GLR	#N/A	#N/A	10/8/2023			Afonso	Done	2310-A PartnersWM5T05
2310-A Partners	WM5T06	Week -5	GLR	#N/A	#N/A	10/8/2023			Afonso	Done	2310-A PartnersWM5T06
2310-A Partners	WM5T07	Week -5	GLR	#N/A	#N/A	10/8/2023			Afonso	Done	2310-A PartnersWM5T07
2310-A Partners	WM4T01	Week -4	GLR	9/4/2023	9/10/2023	10/15/2023			Afonso	Done	2310-A PartnersWM4T01
2310-A Partners	WM4T02	Week -4	GLR	#N/A	#N/A	10/15/2023			Afonso	Done	2310-A PartnersWM4T02
2310-A Partners	WM4T03	Week -4	GLR	#N/A	#N/A	10/15/2023			Afonso	Done	2310-A PartnersWM4T03
2310-A Partners	WM3T01	Week -3	GLR	9/11/2023	9/17/2023	10/22/2023			Afonso	Done	2310-A PartnersWM3T01
2310-A Partners	WM3T02	Week -3	GLR	9/11/2023	9/17/2023	10/22/2023			Afonso	Done	2310-A PartnersWM3T02
2310-A Partners	WM3T03	Week -3	GLR	#N/A	#N/A	10/22/2023			Afonso	Done	2310-A PartnersWM3T03
2310-A Partners	WM3T04	Week -3	GLR	#N/A	#N/A	10/22/2023			Afonso	Done	2310-A PartnersWM3T04
2310-A Partners	WM3T05	Week -3	GLR	#N/A	#N/A	10/22/2023			Afonso	Done	2310-A PartnersWM3T05
2310-A Partners	WM2T01	Week -2	GLR	9/18/2023	9/24/2023	10/29/2023			Telmo	Done	2310-A PartnersWM2T01
2310-A Partners	WM2T02	Week -2	GLR	9/18/2023	9/24/2023	10/29/2023			Telmo	Done	2310-A PartnersWM2T02
2310-A Partners	WM2T03	Week -2	GLR	9/18/2023	9/24/2023	10/29/2023			Telmo	Done	2310-A PartnersWM2T03
2310-A Partners	WM1T01	Week -1	GLR	9/25/2023	10/1/2023	11/5/2023			Telmo	Done	2310-A PartnersWM1T01
2310-A Partners	WM1T02	Week -1	GLR	9/25/2023	10/1/2023	11/5/2023			Telmo	Done	2310-A PartnersWM1T02
2310-A Partners	WM1T03	Week -1	GLR	#N/A	#N/A				Luis	Done	2310-A PartnersWM1T03
2310-A Partners	WM1T04	Week -1	GLR	#N/A	#N/A	11/5/2023			Telmo	Done	2310-A PartnersWM1T04
2310-A Partners	W1T01	Week 1	GLR	10/2/2023	10/4/2023	11/12/2023			Afonso	Done	2310-A PartnersW1T01
2310-A Partners	W1T02	Week 1	GLR	#N/A	#N/A	11/12/2023			Telmo	Done	2310-A PartnersW1T02
2310-A Partners	W1T03	Week 1	GLR	#N/A	#N/A				Afonso	Done	2310-A PartnersW1T03
